iter	Passed	Remaining
800	15058	3741
801	15077	3722
802	15095	3703
803	15109	3683
804	15129	3664
805	15149	3646
806	15178	3630
807	15204	3612
808	15233	3596
809	15251	3577
810	15262	3556
811	15278	3537
812	15297	3518
813	15317	3499
814	15336	3481
815	15358	3463
816	15377	3444
817	15394	3425
818	15409	3405
819	15420	3384
820	15430	3364
821	15445	3344
822	15455	3323
823	15467	3303
824	15478	3283
825	15488	3262
826	15498	3242
827	15507	3221
828	15518	3201
829	15527	3180
830	15543	3161
831	15569	3143
832	15581	3123
833	15603	3105
834	15609	3084
835	15628	3065
836	15641	3046
837	15656	3026
838	15671	3007
839	15686	2987
840	15700	2968
841	15719	2949
842	15740	2931
843	15759	2912
844	15793	2897
845	15805	2877
846	15825	2858
847	15851	2841
848	15870	2822
849	15892	2804
850	15911	2785
851	15946	2770
852	15967	2751
853	15981	2732
854	15991	2712
855	16003	2692
856	16014	2672
857	16027	2652
858	16038	2632
859	16052	2613
860	16062	2593
861	16075	2573
862	16085	2553
863	16102	2534
864	16122	2516
865	16138	2497
866	16150	2477
867	16164	2458
868	16186	2440
869	16198	2420
870	16210	2400
871	16227	2382
872	16245	2363
873	16267	2345
874	16287	2326
875	16305	2308
876	16324	2289
877	16346	2271
878	16356	2251
879	16368	2232
880	16381	2212
881	16396	2193
882	16416	2175
883	16428	2155
884	16441	2136
885	16460	2117
886	16470	2098
887	16484	2079
888	16498	2059
889	16517	2041
890	16529	2022
891	16544	2003
892	16566	1985
893	16581	1966
894	16591	1946
895	16600	1926
896	16617	1908
897	16627	1888
898	16647	1870
899	16668	1852
900	16690	1833
901	16705	1814
902	16720	1796
903	16735	1777
904	16761	1759
905	16776	1740
906	16798	1722
907	16829	1705
908	16848	1686
909	16865	1668
910	16884	1649
911	16897	1630
912	16911	1611
913	16937	1593
914	16949	1574
915	16979	1557
916	17005	1539
917	17021	1520
918	17033	1501
919	17049	1482
920	17069	1464
921	17081	1445
922	17101	1426
923	17122	1408
924	17134	1389
925	17150	1370
926	17162	1351
927	17182	1333
928	17198	1314
929	17215	1295
930	17225	1276
931	17245	1258
932	17261	1239
933	17285	1221
934	17295	1202
935	17311	1183
936	17343	1166
937	17363	1147
938	17382	1129
939	17393	1110
940	17404	1091
941	17415	1072
942	17442	1054
943	17460	1035
944	17479	1017
945	17494	998
946	17510	979
947	17533	961
948	17551	943
949	17585	925
950	17608	907
951	17621	888
952	17638	869
953	17652	851
954	17665	832
955	17677	813
956	17688	794
957	17701	776
958	17714	757
959	17730	738
960	17745	720
961	17758	701
962	17770	682
963	17786	664
964	17803	645
965	17815	627
966	17823	608
967	17838	589
968	17853	571
969	17868	552
970	17880	534
971	17900	515
972	17910	497
973	17929	478
974	17945	460
975	17957	441
976	17965	422
977	17973	404
978	17980	385
979	17989	367
980	17995	348
981	18006	330
982	18015	311
983	18027	293
984	18034	274
985	18040	256
986	18048	237
987	18053	219
988	18060	200
989	18069	182
990	18078	164
991	18091	145
992	18103	127
993	18114	109
994	18124	91
995	18133	72
996	18143	54
997	18153	36
998	18162	18
999	18172	0
