iter	Passed	Remaining
555	24305	63123
556	24346	63073
557	24386	63020
558	24425	62964
559	24464	62909
560	24502	62851
561	24542	62796
562	24582	62744
563	24621	62687
564	24658	62629
565	24697	62572
566	24738	62521
567	24779	62471
568	24818	62418
569	24857	62362
570	24897	62308
571	24936	62253
572	24975	62198
573	25014	62144
574	25056	62097
575	25096	62043
576	25136	61991
577	25174	61933
578	25215	61883
579	25259	61841
580	25318	61835
581	25399	61884
582	25453	61865
583	25510	61855
584	25550	61801
585	25588	61744
586	25629	61693
587	25667	61638
588	25708	61585
589	25748	61534
590	25788	61482
591	25828	61429
592	25868	61378
593	25908	61324
594	25948	61272
595	25991	61228
596	26031	61175
597	26078	61140
598	26123	61101
599	26166	61054
600	26204	60998
601	26246	60950
602	26288	60902
603	26328	60852
604	26366	60796
605	26406	60742
606	26447	60694
607	26484	60636
608	26523	60582
609	26561	60524
610	26599	60469
611	26640	60420
612	26692	60396
613	26735	60350
614	26776	60300
615	26814	60246
616	26855	60196
617	26895	60144
618	26934	60090
619	26973	60038
620	27013	59985
621	27052	59933
622	27093	59883
623	27132	59830
624	27171	59777
625	27210	59724
626	27249	59670
627	27287	59615
628	27332	59575
629	27375	59530
630	27413	59476
631	27455	59428
632	27502	59392
633	27544	59346
634	27585	59298
635	27625	59246
636	27665	59196
637	27704	59143
638	27742	59089
639	27783	59040
640	27823	58990
641	27863	58938
642	27901	58883
643	27938	58826
644	27976	58772
645	28018	58726
646	28058	58676
647	28097	58622
648	28134	58565
649	28172	58512
650	28210	58457
651	28254	58416
652	28293	58363
653	28332	58311
654	28373	58262
655	28411	58208
656	28451	58158
657	28494	58114
658	28533	58063
659	28573	58012
660	28611	57959
661	28651	57908
662	28690	57856
663	28731	57809
664	28771	57759
665	28812	57710
666	28851	57659
667	28891	57610
668	28929	57557
669	28972	57512
670	29010	57459
671	29051	57410
672	29089	57357
673	29127	57304
674	29167	57254
675	29208	57207
676	29249	57159
677	29287	57106
678	29327	57056
679	29366	57004
680	29405	56954
681	29447	56908
682	29485	56856
683	29526	56807
684	29573	56772
685	29617	56731
686	29695	56754
687	29741	56716
688	29789	56681
689	29830	56634
690	29870	56585
691	29909	56533
692	29949	56485
693	29989	56434
694	30027	56383
695	30067	56333
696	30105	56280
697	30146	56234
698	30185	56182
699	30226	56134
700	30266	56085
701	30305	56034
702	30346	55987
703	30386	55939
704	30425	55888
705	30466	55839
706	30504	55787
707	30542	55736
708	30581	55684
709	30624	55641
710	30663	55590
711	30701	55538
712	30740	55487
713	30779	55437
714	30818	55387
715	30860	55341
716	30899	55291
717	30937	55239
718	30976	55189
719	31016	55139
720	31054	55088
721	31144	55127
722	31184	55079
723	31224	55030
724	31263	54980
725	31302	54931
726	31342	54882
727	31385	54838
728	31424	54788
729	31464	54739
730	31503	54689
731	31543	54640
732	31581	54588
733	31623	54544
734	31664	54496
735	31703	54447
736	31755	54419
737	31795	54371
738	31833	54319
739	31886	54292
740	31925	54243
741	31963	54191
742	32002	54140
743	32043	54094
744	32086	54051
745	32127	54004
746	32165	53954
747	32204	53903
748	32243	53853
749	32284	53806
750	32323	53757
751	32361	53705
752	32401	53658
753	32442	53611
754	32485	53568
755	32525	53521
756	32564	53471
757	32605	53424
758	32644	53374
759	32681	53323
760	32722	53275
761	32761	53226
762	32802	53179
763	32840	53129
764	32879	53080
765	32919	53032
766	32961	52988
767	33001	52939
768	33041	52892
769	33080	52843
770	33118	52792
771	33157	52743
772	33216	52725
773	33265	52692
774	33311	52653
775	33349	52602
776	33390	52557
777	33430	52509
778	33470	52461
779	33509	52412
780	33549	52364
781	33587	52313
782	33626	52265
783	33667	52218
784	33707	52171
785	33750	52128
786	33802	52099
787	33847	52059
788	33912	52050
789	33960	52016
790	34009	51981
791	34050	51936
792	34091	51889
793	34131	51841
794	34171	51795
795	34211	51747
796	34249	51697
797	34290	51649
798	34327	51599
799	34368	51552
800	34408	51505
801	34447	51457
802	34487	51408
803	34526	51359
804	34567	51315
805	34616	51280
806	34657	51234
807	34696	51185
808	34735	51137
809	34775	51089
810	34814	51040
811	34855	50994
812	34896	50949
813	34937	50903
814	34978	50858
815	35017	50809
816	35055	50759
817	35095	50712
818	35135	50665
819	35175	50617
820	35214	50570
821	35254	50522
822	35294	50475
823	35334	50429
824	35374	50381
825	35414	50334
826	35453	50286
827	35491	50237
828	35532	50190
829	35614	50204
830	35654	50155
831	35693	50108
832	35734	50063
833	35775	50017
834	35814	49968
835	35854	49922
836	35893	49873
837	35941	49837
838	35982	49792
839	36023	49746
840	36063	49699
841	36103	49653
842	36142	49605
843	36183	49559
844	36223	49511
845	36263	49466
846	36311	49429
847	36350	49381
848	36390	49334
849	36431	49289
850	36469	49239
851	36508	49192
852	36546	49143
853	36586	49095
854	36627	49051
855	36669	49006
856	36710	48961
857	36750	48914
858	36788	48866
859	36830	48821
860	36868	48772
861	36907	48725
862	36946	48676
863	36985	48629
864	37039	48600
865	37078	48553
866	37118	48506
867	37158	48460
868	37198	48413
869	37237	48365
870	37278	48320
871	37317	48272
872	37355	48224
873	37395	48177
874	37435	48131
875	37473	48082
876	37519	48044
877	37559	47997
878	37598	47950
879	37637	47902
880	37677	47855
881	37717	47809
882	37757	47763
883	37796	47715
884	37834	47667
885	37873	47620
886	37912	47572
887	37956	47530
888	38003	47493
889	38069	47480
890	38121	47448
891	38181	47427
892	38225	47385
893	38265	47339
894	38304	47291
895	38342	47243
896	38382	47196
897	38422	47151
898	38464	47106
899	38505	47062
900	38543	47014
901	38583	46968
902	38624	46922
903	38663	46875
904	38703	46828
905	38741	46781
906	38784	46737
907	38823	46690
908	38861	46642
909	38899	46594
910	38940	46548
911	38979	46501
912	39019	46456
913	39057	46408
914	39096	46360
915	39135	46312
916	39175	46267
917	39215	46221
918	39254	46174
919	39293	46127
920	39332	46080
921	39370	46032
922	39411	45987
923	39450	45940
924	39490	45893
925	39528	45846
926	39567	45799
927	39608	45754
928	39650	45710
929	39687	45662
930	39726	45615
931	39766	45568
932	39805	45522
933	39845	45476
934	39887	45433
935	39927	45387
936	39967	45341
937	40007	45296
938	40046	45249
939	40086	45204
940	40138	45171
941	40179	45127
942	40217	45079
943	40256	45032
944	40295	44986
945	40335	44939
946	40377	44897
947	40417	44851
948	40456	44804
949	40494	44756
950	40543	44721
951	40583	44676
952	40628	44635
953	40668	44589
954	40706	44542
955	40744	44495
956	40784	44449
957	40828	44408
958	40868	44362
959	40909	44318
960	40949	44272
961	40988	44226
962	41029	44182
963	41068	44135
964	41108	44090
965	41147	44043
966	41185	43996
967	41226	43952
968	41265	43905
969	41304	43858
970	41342	43812
971	41382	43766
972	41421	43720
973	41464	43678
974	41503	43632
975	41543	43586
976	41583	43541
977	41622	43494
978	41662	43449
979	41704	43406
980	41741	43358
981	41780	43312
982	41820	43267
983	41869	43231
984	41911	43187
985	41962	43154
986	42003	43109
987	42042	43063
988	42081	43017
989	42122	42973
990	42174	42940
991	42219	42900
992	42268	42864
993	42317	42827
994	42367	42793
995	42410	42751
996	42449	42704
997	42488	42658
998	42527	42612
999	42565	42565
1000	42607	42522
1001	42646	42476
1002	42687	42431
1003	42725	42385
1004	42765	42339
1005	42804	42293
1006	42845	42250
1007	42885	42204
1008	42924	42159
1009	42964	42113
1010	43005	42070
1011	43047	42026
1012	43089	41983
1013	43128	41937
1014	43167	41891
1015	43207	41847
1016	43246	41800
1017	43300	41769
1018	43345	41729
1019	43389	41688
1020	43435	41649
1021	43475	41603
1022	43516	41559
1023	43556	41515
1024	43596	41470
1025	43635	41423
1026	43675	41379
1027	43716	41334
1028	43757	41291
1029	43797	41246
1030	43836	41199
1031	43876	41155
1032	43916	41110
1033	43954	41064
1034	43996	41020
1035	44037	40976
1036	44077	40931
1037	44116	40886
1038	44155	40840
1039	44195	40795
1040	44235	40751
1041	44274	40705
1042	44322	40667
1043	44362	40623
1044	44401	40577
1045	44441	40532
1046	44481	40488
1047	44521	40443
1048	44560	40397
1049	44598	40351
1050	44637	40305
1051	44677	40260
1052	44717	40216
1053	44755	40169
1054	44794	40123
1055	44832	40077
1056	44872	40033
1057	44914	39989
1058	44954	39945
1059	44994	39901
1060	45035	39857
1061	45074	39811
1062	45117	39769
1063	45158	39725
1064	45200	39682
1065	45238	39636
1066	45277	39591
1067	45317	39546
1068	45358	39502
1069	45399	39459
1070	45438	39413
1071	45476	39367
1072	45516	39322
1073	45555	39278
1074	45596	39234
1075	45635	39189
1076	45674	39143
1077	45713	39098
1078	45753	39053
1079	45792	39008
1080	45834	38966
1081	45873	38920
1082	45912	38875
1083	45952	38830
1084	45990	38784
1085	46029	38739
1086	46080	38704
1087	46120	38660
1088	46159	38614
1089	46200	38570
1090	46239	38526
1091	46278	38480
1092	46320	38438
1093	46373	38404
1094	46417	38363
1095	46486	38342
1096	46536	38306
1097	46586	38270
1098	46629	38228
1099	46668	38183
1100	46707	38138
1101	46748	38094
1102	46789	38051
1103	46830	38007
1104	46869	37961
1105	46907	37915
1106	46945	37870
1107	46986	37826
1108	47026	37782
1109	47065	37737
1110	47104	37692
1111	47144	37647
1112	47183	37602
1113	47227	37561
1114	47267	37516
1115	47306	37472
1116	47346	37428
1117	47387	37384
1118	47427	37340
1119	47469	37297
1120	47507	37251
1121	47545	37206
1122	47584	37161
1123	47624	37116
1124	47666	37074
1125	47708	37031
1126	47748	36986
1127	47786	36941
1128	47826	36897
1129	47865	36852
1130	47907	36809
1131	47946	36764
1132	47984	36718
1133	48024	36674
1134	48062	36629
1135	48102	36585
1136	48143	36541
1137	48182	36496
1138	48222	36452
1139	48264	36410
1140	48304	36366
1141	48342	36320
1142	48384	36277
1143	48424	36233
1144	48463	36189
1145	48503	36145
1146	48549	36105
1147	48590	36061
1148	48631	36018
1149	48670	35973
1150	48712	35931
1151	48751	35886
1152	48791	35842
1153	48833	35799
1154	48872	35755
1155	48910	35709
1156	48950	35665
1157	48990	35621
1158	49032	35578
1159	49071	35534
1160	49110	35490
1161	49150	35446
1162	49189	35401
1163	49230	35358
1164	49271	35314
1165	49311	35270
1166	49371	35241
1167	49413	35198
1168	49452	35154
1169	49492	35109
1170	49532	35065
1171	49572	35022
1172	49611	34977
1173	49651	34933
1174	49690	34888
1175	49737	34850
1176	49781	34809
1177	49827	34769
1178	49877	34732
1179	49922	34692
1180	49985	34663
1181	50033	34625
1182	50079	34585
1183	50125	34545
1184	50170	34505
1185	50221	34468
1186	50266	34428
1187	50315	34390
1188	50361	34350
1189	50407	34310
1190	50460	34276
1191	50505	34235
1192	50558	34200
1193	50609	34163
1194	50669	34133
1195	50727	34101
1196	50782	34067
1197	50839	34034
1198	50896	34001
1199	50939	33959
1200	50979	33915
1201	51019	33871
1202	51060	33827
1203	51100	33784
1204	51143	33742
1205	51190	33702
1206	51235	33662
1207	51275	33617
1208	51315	33573
1209	51357	33530
1210	51394	33485
1211	51432	33439
1212	51475	33397
1213	51513	33352
1214	51553	33308
1215	51592	33263
1216	51635	33221
1217	51676	33178
1218	51716	33134
1219	51755	33089
1220	51797	33046
1221	51841	33005
1222	51886	32964
1223	51931	32924
1224	51979	32884
1225	52023	32843
1226	52076	32807
1227	52120	32766
1228	52166	32725
1229	52213	32686
1230	52260	32646
1231	52318	32614
1232	52364	32573
1233	52408	32532
1234	52451	32490
1235	52491	32446
1236	52530	32401
1237	52571	32358
1238	52613	32315
1239	52653	32271
1240	52692	32227
1241	52732	32182
1242	52779	32142
1243	52817	32098
1244	52856	32053
1245	52897	32010
1246	52935	31965
1247	52974	31920
1248	53013	31876
1249	53052	31831
1250	53093	31788
1251	53133	31744
1252	53174	31700
1253	53212	31656
1254	53252	31611
1255	53293	31568
1256	53333	31525
1257	53373	31481
1258	53415	31438
1259	53462	31398
1260	53509	31358
1261	53570	31327
1262	53610	31283
1263	53649	31238
1264	53690	31195
1265	53729	31151
1266	53769	31107
1267	53810	31064
1268	53867	31030
1269	53909	30987
1270	53949	30943
1271	53989	30899
1272	54030	30856
1273	54070	30812
1274	54109	30768
1275	54150	30724
1276	54190	30681
1277	54231	30637
1278	54273	30595
1279	54311	30550
1280	54350	30506
1281	54391	30462
1282	54430	30418
1283	54471	30375
1284	54510	30330
1285	54550	30286
1286	54590	30243
1287	54628	30198
1288	54667	30154
1289	54709	30111
1290	54747	30066
1291	54793	30026
1292	54837	29984
1293	54884	29944
1294	54934	29906
1295	54982	29867
1296	55029	29827
1297	55069	29783
1298	55108	29738
1299	55147	29694
1300	55188	29651
1301	55227	29607
1302	55266	29563
1303	55306	29519
1304	55345	29475
1305	55388	29433
1306	55425	29387
1307	55465	29344
1308	55505	29300
1309	55545	29256
1310	55583	29212
1311	55623	29168
1312	55663	29124
1313	55705	29082
1314	55744	29038
1315	55785	28994
1316	55827	28952
1317	55872	28911
1318	55910	28866
1319	55949	28822
1320	55990	28779
1321	56029	28735
1322	56072	28692
1323	56113	28650
1324	56164	28612
1325	56205	28568
1326	56244	28524
1327	56287	28482
1328	56325	28438
1329	56366	28395
1330	56407	28351
1331	56447	28308
1332	56490	28266
1333	56528	28221
1334	56567	28177
1335	56606	28133
1336	56645	28089
1337	56686	28046
1338	56725	28002
1339	56762	27957
1340	56801	27913
1341	56840	27869
1342	56879	27825
1343	56933	27788
1344	56975	27746
1345	57014	27702
1346	57053	27658
1347	57093	27614
1348	57131	27570
1349	57172	27527
1350	57211	27483
1351	57251	27440
1352	57289	27395
1353	57329	27352
1354	57370	27309
1355	57412	27266
1356	57451	27222
1357	57492	27179
1358	57532	27136
1359	57570	27092
1360	57610	27048
1361	57650	27005
1362	57692	26962
1363	57730	26918
1364	57769	26874
1365	57810	26831
1366	57849	26787
1367	57890	26744
1368	57931	26701
1369	57970	26657
1370	58010	26614
1371	58050	26571
1372	58089	26527
1373	58129	26484
1374	58170	26441
1375	58208	26396
1376	58246	26352
1377	58285	26309
1378	58324	26264
1379	58365	26222
1380	58405	26178
1381	58442	26134
1382	58482	26090
1383	58523	26047
1384	58564	26005
1385	58608	25963
1386	58648	25920
1387	58686	25876
1388	58727	25833
1389	58766	25789
1390	58808	25747
1391	58850	25704
1392	58889	25660
1393	58930	25618
1394	58968	25574
1395	59013	25533
1396	59059	25492
1397	59104	25451
1398	59160	25415
1399	59205	25373
1400	59253	25333
1401	59295	25291
1402	59335	25248
1403	59374	25204
1404	59414	25161
1405	59453	25117
1406	59492	25074
1407	59535	25031
1408	59574	24988
1409	59615	24945
1410	59654	24901
1411	59695	24858
1412	59733	24815
1413	59775	24772
1414	59816	24729
1415	59855	24686
1416	59894	24642
1417	59935	24599
1418	59975	24556
1419	60016	24513
1420	60056	24470
1421	60095	24426
1422	60134	24383
1423	60172	24339
1424	60213	24296
1425	60266	24258
1426	60304	24214
1427	60345	24172
1428	60385	24128
1429	60424	24085
1430	60464	24042
1431	60505	23999
1432	60543	23955
1433	60581	23911
1434	60620	23867
1435	60658	23824
1436	60698	23780
1437	60741	23738
1438	60780	23695
1439	60818	23651
1440	60857	23607
1441	60896	23564
1442	60934	23520
1443	60975	23478
1444	61017	23435
1445	61057	23392
1446	61096	23349
1447	61135	23305
1448	61184	23266
1449	61227	23224
1450	61268	23181
1451	61307	23137
1452	61346	23094
1453	61384	23051
1454	61426	23008
1455	61466	22965
1456	61504	22921
1457	61544	22878
1458	61584	22835
1459	61624	22792
1460	61666	22750
1461	61706	22707
1462	61745	22663
1463	61783	22620
1464	61823	22577
1465	61863	22534
1466	61903	22491
1467	61941	22447
1468	61981	22404
1469	62023	22362
1470	62064	22319
1471	62101	22275
1472	62144	22233
1473	62183	22190
1474	62222	22147
1475	62262	22104
1476	62301	22060
1477	62341	22017
1478	62382	21975
1479	62421	21931
1480	62462	21889
1481	62501	21845
1482	62539	21802
1483	62578	21759
1484	62621	21717
1485	62661	21674
1486	62699	21630
1487	62738	21587
1488	62778	21544
1489	62817	21501
1490	62857	21458
1491	62897	21415
1492	62936	21372
1493	62977	21329
1494	63015	21286
1495	63054	21243
1496	63096	21200
1497	63134	21157
1498	63175	21114
1499	63215	21071
1500	63267	21032
1501	63323	20995
1502	63381	20958
1503	63432	20919
1504	63480	20878
1505	63528	20838
1506	63624	20814
1507	63671	20773
1508	63717	20732
1509	63759	20690
1510	63798	20646
1511	63835	20603
1512	63877	20560
1513	63915	20517
1514	63954	20473
1515	63996	20431
1516	64035	20388
1517	64076	20345
1518	64115	20302
1519	64157	20260
1520	64198	20217
1521	64238	20174
1522	64279	20132
1523	64319	20089
1524	64358	20046
1525	64397	20002
1526	64440	19960
1527	64479	19917
1528	64519	19874
1529	64559	19832
1530	64597	19788
1531	64636	19745
1532	64678	19703
1533	64717	19660
1534	64756	19616
1535	64796	19573
1536	64834	19530
1537	64874	19487
1538	64914	19444
1539	64953	19401
1540	64993	19358
1541	65031	19315
1542	65072	19272
1543	65111	19229
1544	65153	19187
1545	65193	19144
1546	65232	19101
1547	65271	19058
1548	65311	19015
1549	65349	18972
1550	65390	18929
1551	65430	18887
1552	65472	18845
1553	65512	18802
1554	65550	18758
1555	65588	18715
1556	65629	18673
1557	65668	18630
1558	65708	18587
1559	65747	18544
1560	65786	18501
1561	65826	18458
1562	65868	18416
1563	65907	18373
1564	65946	18330
1565	65986	18287
1566	66025	18244
1567	66064	18201
1568	66106	18159
1569	66145	18116
1570	66184	18073
1571	66224	18030
1572	66266	17988
1573	66306	17945
1574	66358	17906
1575	66399	17863
1576	66438	17820
1577	66476	17777
1578	66517	17735
1579	66556	17692
1580	66598	17650
1581	66637	17607
1582	66675	17563
1583	66715	17521
1584	66754	17478
1585	66795	17435
1586	66837	17393
1587	66876	17350
1588	66916	17308
1589	66955	17265
1590	66996	17222
1591	67034	17179
1592	67074	17136
1593	67113	17094
1594	67151	17051
1595	67191	17008
1596	67229	16965
1597	67268	16922
1598	67312	16880
1599	67352	16838
1600	67392	16795
1601	67431	16752
1602	67470	16709
1603	67515	16668
1604	67562	16627
1605	67623	16590
1606	67685	16552
1607	67731	16511
1608	67793	16474
1609	67834	16431
1610	67873	16389
1611	67912	16346
1612	67953	16303
1613	67994	16261
1614	68034	16218
1615	68074	16176
1616	68113	16133
1617	68152	16090
1618	68194	16048
1619	68232	16005
1620	68270	15962
1621	68310	15919
1622	68350	15876
1623	68389	15833
1624	68429	15791
1625	68470	15749
1626	68511	15706
1627	68551	15664
1628	68592	15621
1629	68631	15578
1630	68673	15536
1631	68712	15494
1632	68751	15451
1633	68790	15408
1634	68830	15365
1635	68872	15323
1636	68911	15281
1637	68949	15237
1638	68989	15195
1639	69028	15152
1640	69068	15110
1641	69122	15070
1642	69165	15028
1643	69207	14986
1644	69253	14945
1645	69295	14903
1646	69335	14860
1647	69376	14818
1648	69416	14775
1649	69456	14733
1650	69495	14690
1651	69535	14647
1652	69577	14605
1653	69616	14563
1654	69656	14520
1655	69697	14478
1656	69744	14437
1657	69784	14394
1658	69826	14352
1659	69865	14309
1660	69906	14267
1661	69948	14225
1662	69997	14184
1663	70050	14144
1664	70098	14103
